movie_id,primary_title,genres,individual_genre,runtime_minutes,title,studio,domestic_gross,foreign_gross,year,averagerating,numvotes,director_id,director_name,total_gross
tt1855325,Resident Evil: Retribution,"Action,Horror,Sci-Fi",Action,95.0,Resident Evil: Retribution,SGem,42300000.0,197700000.0,2012,5.4,125191,nm0027271,Paul W.S. Anderson,240000000.0
tt1855325,Resident Evil: Retribution,"Action,Horror,Sci-Fi",Horror,95.0,Resident Evil: Retribution,SGem,42300000.0,197700000.0,2012,5.4,125191,nm0027271,Paul W.S. Anderson,240000000.0
tt1855325,Resident Evil: Retribution,"Action,Horror,Sci-Fi",Sci-Fi,95.0,Resident Evil: Retribution,SGem,42300000.0,197700000.0,2012,5.4,125191,nm0027271,Paul W.S. Anderson,240000000.0
tt1856038,Love in Space,"Comedy,Romance",Comedy,100.0,Love in Space,CL,34800.0,0.0,2011,5.5,302,nm0151135,Tony Chan,34800.0
tt1856038,Love in Space,"Comedy,Romance",Comedy,100.0,Love in Space,CL,34800.0,0.0,2011,5.5,302,nm0796102,Wing Shya,34800.0
tt1856038,Love in Space,"Comedy,Romance",Romance,100.0,Love in Space,CL,34800.0,0.0,2011,5.5,302,nm0151135,Tony Chan,34800.0
tt1856038,Love in Space,"Comedy,Romance",Romance,100.0,Love in Space,CL,34800.0,0.0,2011,5.5,302,nm0796102,Wing Shya,34800.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Action,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0271246,Jean-Loup Felicioli,34400.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Action,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0300944,Alain Gagnol,34400.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Adventure,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0271246,Jean-Loup Felicioli,34400.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Adventure,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0300944,Alain Gagnol,34400.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Animation,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0271246,Jean-Loup Felicioli,34400.0
tt1856057,Phantom Boy,"Action,Adventure,Animation",Animation,84.0,Phantom Boy,GK,34400.0,0.0,2016,6.6,1156,nm0300944,Alain Gagnol,34400.0
tt1856101,Blade Runner 2049,"Drama,Mystery,Sci-Fi",Drama,164.0,Blade Runner 2049,WB,92100000.0,167200000.0,2017,8.0,376241,nm0898288,Denis Villeneuve,259300000.0
tt1856101,Blade Runner 2049,"Drama,Mystery,Sci-Fi",Mystery,164.0,Blade Runner 2049,WB,92100000.0,167200000.0,2017,8.0,376241,nm0898288,Denis Villeneuve,259300000.0
tt1856101,Blade Runner 2049,"Drama,Mystery,Sci-Fi",Sci-Fi,164.0,Blade Runner 2049,WB,92100000.0,167200000.0,2017,8.0,376241,nm0898288,Denis Villeneuve,259300000.0
tt1925421,Elena,"Crime,Drama,Thriller",Crime,109.0,Elena,Zeit.,233000.0,0.0,2012,7.3,11307,nm1168657,Andrey Zvyagintsev,233000.0
tt1925421,Elena,"Crime,Drama,Thriller",Drama,109.0,Elena,Zeit.,233000.0,0.0,2012,7.3,11307,nm1168657,Andrey Zvyagintsev,233000.0
tt1925421,Elena,"Crime,Drama,Thriller",Thriller,109.0,Elena,Zeit.,233000.0,0.0,2012,7.3,11307,nm1168657,Andrey Zvyagintsev,233000.0
tt2475154,Elena,"Biography,Documentary,Drama",Biography,80.0,Elena,Zeit.,233000.0,0.0,2012,7.7,1235,nm3525467,Petra Costa,233000.0
tt2475154,Elena,"Biography,Documentary,Drama",Documentary,80.0,Elena,Zeit.,233000.0,0.0,2012,7.7,1235,nm3525467,Petra Costa,233000.0
tt2475154,Elena,"Biography,Documentary,Drama",Drama,80.0,Elena,Zeit.,233000.0,0.0,2012,7.7,1235,nm3525467,Petra Costa,233000.0
